date,gross_ret,net_ret,turnover,n_holdings,n_kept,n_new,illiquid_share,trading_cost,gross_nav,net_nav
2025-08-25,-0.025171372465469327,-0.02727137246546933,0.30000000000000004,20,14,6,0.75,0.0021000000000000003,1.8191327400690682,1.4483206179995303
2025-09-01,-0.004539441615023671,-0.005859441615023671,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.8108748932055467,1.439834267898527
2025-09-08,0.00996200811229458,0.00786200811229458,0.30000000000000004,20,14,6,0.75,0.0021000000000000003,1.828914843582011,1.451154256593105
2025-09-15,-0.013961335294488564,-0.016411335294488565,0.35,20,13,7,0.75,0.00245,1.8033807502256956,1.4273388775241314
2025-09-22,0.013332286614942516,0.010672286614942517,0.35,20,13,7,0.9,0.00266,1.8274239392635747,1.442571847121719
2025-09-29,-0.004044370902792866,-0.006324370902792867,0.30000000000000004,20,14,6,0.9,0.0022800000000000008,1.82003315905655,1.4334484877065943
2025-10-14,0.010476817926011243,0.008166817926011243,0.35,20,13,7,0.65,0.00231,1.8391013150832887,1.4451552005120103
2025-10-21,0.014405242808706342,0.012095242808706342,0.35,20,13,7,0.65,0.00231,1.8655940160768745,1.462634703558468
2025-10-28,0.009198350324871266,0.007218350324871265,0.30000000000000004,20,14,6,0.65,0.0019800000000000004,1.8827544034007333,1.4731925132460673
2025-11-04,0.014968721069266073,0.013108721069266072,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,1.9109368289071715,1.4925041829835408
2025-11-11,-0.009870065598934295,-0.011850065598934296,0.30000000000000004,20,14,6,0.65,0.0019800000000000004,1.8920757570504383,1.474817910508502
2025-11-18,-0.04717894214936496,-0.04941894214936496,0.35,20,13,7,0.6,0.00224,1.8028096243663398,1.4019339695082351
2025-11-25,0.004320913315569415,0.001440913315569415,0.4,20,12,8,0.8,0.00288,1.8105994084777013,1.4039540348324488
2025-12-02,0.0043761914911602095,0.0006761914911602093,0.5,20,10,10,0.85,0.0037,1.818522938202981,1.4049033766047825
2025-12-09,-0.041920280065236994,-0.045820280065236994,0.5,20,10,10,0.95,0.0039,1.7422899473284545,1.3405303104241542
2025-12-16,0.029443353155323516,0.025943353155323517,0.5,20,10,10,0.75,0.0035,1.7935888055466163,1.3753081616829035
2025-12-23,0.004472655937667448,0.002162655937667448,0.35,20,13,7,0.65,0.00231,1.8016109111674783,1.3782824800448896
